"f_Enterobacteriaceae";"f_Akkermansiaceae";"f_Oscillospiraceae";"f_Lachnospiraceae";"o_Eubacteriales";"f_Rikenellaceae";"f_Veillonellaceae";"f_Bacteroidaceae";"f_Streptococcaceae";"f_Peptostreptococcaceae";"f_Porphyromonadaceae";"f_Coprobacillaceae";"f_Bifidobacteriaceae";"f_Coriobacteriaceae";"f_Erysipelotrichaceae";"p_Bacillota";"f_Clostridiaceae_1";"f_Prevotellaceae";"f_Acidaminococcaceae";"f_Enterococcaceae";"f_Christensenellaceae";"k_Bacteria";"f_Eggerthellaceae";"c_Clostridia";"f_Odoribacteraceae";"f_Lactobacillaceae";"f_Leuconostocaceae";"f_Fusobacteriaceae";"f_Pasteurellaceae";"f_Muribaculaceae";"f_Desulfovibrionaceae";"f_Barnesiellaceae";"f_Eubacteriales_incertae_sedis";"f_Streptophyta";"o_Bacteroidales";"p_Bacteroidota";"p_Candidatus_Saccharibacteria";"f_Turicibacteraceae";"f_Selenomonadaceae";"f_Sutterellaceae";"o_Negativibacillus";"c_Coriobacteriia";"f_Eubacteriales_incertae_sedis_XIII";"f_Succinivibrionaceae";"c_Alphaproteobacteria";"f_Micrococcaceae";"f_Carnobacteriaceae";"f_Peptococcaceae";"f_Pseudomonadaceae";"f_Bacillales_Incertae_Sedis_XI";"f_Atopobiaceae";"f_Sphingomonadaceae";"f_Poaceae";"f_Erythrobacteraceae";"c_Mollicutes";"f_Peptoniphilaceae";"f_Helicobacteraceae";"f_Synergistaceae";"f_Actinomycetaceae";"f_Eubacteriaceae";"f_Chitinophagaceae";"f_Victivallaceae";"f_Chlamydiaceae";"f_Oxalobacteraceae";"f_Propionibacteriaceae";"f_Staphylococcaceae";"o_Rhodospirillales";"f_Elusimicrobiaceae";"p_Pseudomonadota";"f_Aerococcaceae";"f_Corynebacteriaceae";"f_Methylobacteriaceae";"f_Treponemataceae";"o_Enterobacterales";"f_Brucellaceae";"f_Xanthomonadaceae";"f_Anaeroplasmataceae";"f_Puniceicoccaceae";"f_Cardiobacteriaceae";"f_Campylobacteraceae";"o_Spirochaetales";"o_Erysipelotrichales";"f_Caryophanaceae";"f_Hafniaceae";"f_Deferribacteraceae";"c_Planctomycetia";"f_Morganellaceae";"f_Yersiniaceae";"f_Comamonadaceae";"f_Fibrobacteraceae";"f_Burkholderiaceae";"f_Promicromonosporaceae";"f_Arcobacteraceae";"c_Negativicutes";"f_Aeromonadaceae";"o_Lactobacillales";"c_Actinobacteria";"Bacteria";"f_Syntrophomonadaceae";"o_Burkholderiales";"f_Lawsonellaceae";"f_Microbacteriaceae";"f_Moraxellaceae";"c_Opitutia";"f_Neisseriaceae";"NA.";"f_Bacillariophyta";"f_Brachyspiraceae";"f_Leptotrichiaceae";"c_Bacilli";"f_Weeksellaceae";"f_Bacillaceae";"f_Legionellaceae";"f_Methanobacteriaceae";"c_Betaproteobacteria"
0;1310;22673;5431;3742;902;6712;1062;0;204;5;22;194;131;104;471;100;9;0;0;313;164;126;69;0;0;0;0;0;0;0;33;48;0;0;0;3;0;0;22;0;31;20;0;0;0;0;16;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2788;33;16937;4697;2083;0;3654;23;742;293;5;1397;305;429;643;31;605;1364;31;108;0;21;104;117;0;2301;0;5;0;1519;219;0;0;0;0;13;5;0;190;0;240;0;5;27;0;17;0;0;0;0;171;0;0;0;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;13;6209;22741;397;30;13;677;7918;1202;187;0;139;398;333;73;245;427;104;0;5;9;299;95;10;10;34;10;9;0;4;0;307;0;16;0;73;496;158;28;28;306;11;0;0;0;9;0;0;11;54;18;0;0;0;0;0;0;120;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5129;146;7354;8297;2726;345;68;508;2198;1492;99;1157;2091;858;565;1586;1869;650;0;729;88;140;159;210;58;2977;31;7;4;54;20;16;97;25;58;3;81;78;0;0;122;10;22;0;0;16;17;19;0;12;18;60;7;0;0;14;0;0;67;0;19;0;0;0;0;45;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;6497;5587;13504;2294;132;6796;1084;1669;176;146;887;0;1276;90;1362;121;231;0;0;0;357;0;60;0;46;0;0;0;0;3;13;233;4;0;0;36;0;0;11;65;0;0;0;0;0;30;357;0;38;14;0;0;0;0;71;4;0;0;0;4;0;0;0;4;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;6070;7404;16229;6383;1033;49;1029;1328;0;26;259;0;686;982;800;0;96;0;0;182;379;74;0;35;9;3;0;0;0;81;79;41;8;32;4;19;0;0;31;0;91;14;0;0;12;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
543;415;5545;5627;3926;188;100;998;548;117;141;117;422;1732;1312;4376;131;1152;36;264;465;965;660;247;62;97;0;0;117;791;91;42;168;602;1627;1336;33;15;13;31;0;17;120;0;0;0;0;2849;0;0;17;35;109;83;0;0;0;0;12;37;0;0;0;9;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
610;0;5109;822;52;625;9712;9321;118;0;1495;0;281;0;0;0;0;3796;0;350;0;0;27;16;87;73;0;0;0;0;0;0;0;0;135;230;0;0;0;23;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518;22;4250;2136;2590;55;240;920;68;230;111;659;961;457;4083;7180;101;836;20;15;8129;605;358;301;11;190;7;0;0;403;26;0;85;0;568;799;213;27;240;24;0;0;10;0;0;0;0;24;0;0;57;21;0;0;0;29;43;0;23;0;8;0;0;0;7;0;0;15;0;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;8126;14710;3801;1220;1445;607;6746;54;518;835;0;652;573;61;1140;82;251;1559;0;357;42;214;104;18;14;0;0;0;0;33;230;0;0;0;0;4;17;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;18;0;8;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0;12724;4771;433;747;1318;2198;714;21;1115;338;643;12;232;7;0;5393;11;463;0;52;65;263;79;47;12;0;613;0;338;110;0;0;1461;3;0;0;24;9;0;0;0;0;0;0;0;14;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2723;36;4390;6691;436;99;259;551;3572;411;112;5968;129;796;444;232;131;1861;30;102;16;150;611;369;12;1937;19;40;0;71;32;0;66;78;290;301;363;35;29;50;0;0;54;31;2;82;19;8;0;16;84;15;15;0;0;79;29;0;33;0;0;0;31;0;21;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
